hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento
8,domingo,não,inverno,17.5,0.0,58.8,0.06,78.0%,0.97
15,quinta,não,verão,41.7,0.0,49.0,2.4,97.0%,2.05
23,sábado,não,outono,30.3,0.0,67.9,0.0,97.0%,1.45
4,quinta,não,verão,33.2,0.0,84.5,0.0,15.0%,1.33
3,quinta,não,verão,34.4,1.73,91.2,0.0,97.0%,3.25
20,terça,não,verão,40.7,0.0,55.8,0.04,97.0%,2.77
5,terça,não,primavera,23.7,0.0,65.6,0.0,21.0%,1.21
20,segunda,não,inverno,12.4,0.0,49.0,0.0,97.0%,3.01
11,segunda,não,primavera,28.1,0.0,52.0,1.68,88.0%,3.85
13,quarta,não,primavera,23.8,0.0,49.8,2.66,61.0%,3.97
12,sábado,não,primavera,24.1,0.0,89.0,0.49,19.0%,1.57
18,segunda,não,verão,36.2,0.0,71.6,0.21,97.0%,1.69
6,domingo,não,primavera,28.1,0.0,49.8,0.0,97.0%,0.85
4,terça,não,primavera,22.5,0.0,62.6,0.0,24.0%,1.21
21,terça,não,outono,27.9,0.0,45.2,0.0,97.0%,1.45
13,sexta,não,verão,39.9,0.0,58.8,2.5,34.0%,3.13
6,segunda,sim,inverno,15.3,0.0,56.6,0.0,97.0%,1.57
23,segunda,não,outono,24.9,0.0,67.9,0.0,96.0%,0.85
20,domingo,não,inverno,18.5,0.0,38.5,0.0,97.0%,0.73
9,terça,sim,primavera,31.2,0.0,64.9,1.14,92.0%,1.21
15,segunda,não,verão,37.5,0.0,67.9,1.55,88.0%,1.33
21,terça,não,primavera,27.3,0.0,73.1,0.0,16.0%,2.05
1,domingo,não,inverno,17.8,0.0,61.8,0.0,19.0%,0.73
15,quinta,não,verão,35.9,0.0,75.4,1.01,67.0%,4.69
1,sábado,não,verão,31.3,0.0,67.1,0.0,81.0%,0.73
0,sábado,não,outono,31.3,0.0,79.2,0.0,97.0%,1.57
4,sábado,não,primavera,28.2,0.0,73.1,0.0,48.0%,0.85
4,segunda,não,inverno,21.6,0.0,73.1,0.0,43.0%,2.41
1,quarta,não,primavera,30.9,0.0,81.4,0.0,24.0%,0.85
0,sexta,não,outono,30.9,0.0,76.9,0.0,97.0%,2.77
20,terça,não,primavera,26.1,0.0,43.7,0.0,68.0%,1.33
17,terça,não,primavera,28.4,0.0,57.3,0.64,97.0%,2.53
19,sexta,não,primavera,23.9,0.0,54.3,0.06,38.0%,3.85
9,quarta,não,outono,33.9,0.0,62.6,1.46,96.0%,3.85
22,quarta,não,inverno,18.5,0.0,43.0,0.0,70.0%,5.05
2,sexta,não,primavera,22.8,0.0,72.4,0.0,97.0%,2.77
10,sexta,não,inverno,18.3,0.0,40.0,0.52,78.0%,1.81
12,quarta,sim,verão,42.7,0.0,49.0,2.73,88.0%,1.57
1,sexta,não,verão,37.2,0.0,76.9,0.0,52.0%,0.85
10,quinta,não,primavera,29.1,0.0,46.0,2.4,79.0%,3.73
13,quarta,não,inverno,15.2,0.0,31.7,1.16,97.0%,4.69
1,quarta,não,inverno,12.9,0.0,47.5,0.0,97.0%,2.41
7,sábado,não,outono,23.0,0.0,79.9,0.0,42.0%,0.85
12,terça,não,verão,33.8,0.0,57.3,0.82,97.0%,1.69
17,segunda,não,inverno,22.7,0.0,48.3,0.23,39.0%,1.21
21,sábado,não,verão,34.3,0.0,81.4,0.0,76.0%,1.09
6,domingo,não,outono,23.1,0.0,78.4,0.0,36.0%,1.09
3,segunda,não,outono,25.9,0.0,82.2,0.0,44.0%,0.25
19,domingo,não,verão,40.3,0.0,60.3,0.4,95.0%,3.37
22,segunda,não,primavera,20.9,0.0,69.4,0.0,36.0%,3.85
6,domingo,não,verão,37.7,0.0,65.6,0.0,89.0%,2.17
13,segunda,não,inverno,21.1,0.0,53.5,1.1,72.0%,1.57
22,segunda,não,primavera,29.1,0.0,58.8,0.0,65.0%,1.57
7,terça,não,outono,27.9,0.0,85.2,0.03,57.0%,0.97
1,sexta,não,primavera,29.6,0.0,64.1,0.0,41.0%,1.45
23,segunda,não,primavera,22.9,0.0,60.3,0.0,24.0%,1.33
22,segunda,não,verão,34.0,0.0,84.5,0.0,97.0%,0.97
16,domingo,não,primavera,33.1,0.0,35.4,2.28,58.0%,4.69
13,quinta,não,verão,35.5,0.0,52.8,3.18,97.0%,1.21
17,sexta,não,inverno,19.1,0.0,41.5,0.26,97.0%,2.29
10,quinta,não,verão,39.2,0.0,58.1,2.34,97.0%,2.41
18,domingo,não,outono,27.8,0.0,56.6,0.02,48.0%,2.05
16,quarta,não,inverno,18.3,0.0,40.0,0.5,97.0%,2.17
8,quinta,não,outono,28.2,0.0,56.6,0.59,97.0%,1.57
11,sexta,não,verão,37.1,0.0,44.5,3.02,78.0%,1.81
1,sábado,não,outono,31.3,0.0,80.7,0.0,71.0%,2.05
23,quarta,não,primavera,28.5,0.0,64.9,0.0,97.0%,1.93
17,segunda,sim,inverno,19.5,0.0,43.0,0.18,93.0%,4.21
0,sexta,não,primavera,30.1,0.0,61.1,0.0,46.0%,2.41
10,terça,não,primavera,28.1,0.0,41.5,2.04,60.0%,1.57
11,segunda,não,primavera,30.5,0.0,60.3,2.53,25.0%,1.93
0,segunda,não,verão,31.1,0.0,79.9,0.0,43.0%,2.89
12,quarta,não,primavera,29.3,0.0,30.9,3.13,89.0%,4.21
11,sábado,não,primavera,33.7,0.0,32.4,2.85,57.0%,2.65
8,quarta,não,primavera,26.5,0.0,58.1,1.09,97.0%,2.17
2,segunda,não,verão,32.1,0.0,75.4,0.0,45.0%,0.61
7,terça,não,verão,31.6,0.0,72.4,0.32,41.0%,0.97
13,terça,não,inverno,17.0,0.0,29.4,1.18,96.0%,5.89
17,quarta,não,inverno,23.1,0.0,61.1,0.19,17.0%,4.21
11,domingo,não,verão,34.1,0.0,65.6,0.93,25.0%,1.09
15,quarta,não,inverno,18.0,0.0,40.7,0.45,97.0%,3.01
0,terça,não,primavera,24.7,0.0,48.3,0.0,97.0%,3.13
19,quinta,não,primavera,28.5,0.0,52.0,0.24,55.0%,4.21
21,sexta,não,verão,35.1,0.0,74.7,0.0,31.0%,1.93
13,quarta,não,verão,34.9,0.0,70.1,2.14,41.0%,2.89
8,quinta,não,outono,24.5,0.0,82.2,0.07,15.0%,0.61
17,terça,não,primavera,37.3,0.0,50.5,1.06,68.0%,2.29
15,segunda,não,verão,38.7,0.0,43.7,2.87,77.0%,3.61
3,domingo,não,outono,23.1,0.0,82.2,0.0,16.0%,1.09
4,segunda,não,inverno,14.7,0.0,79.2,0.0,13.0%,1.09
4,segunda,não,outono,32.2,0.0,67.9,0.0,84.0%,2.05
23,quarta,não,verão,31.7,0.0,79.9,0.0,24.0%,4.57
2,sábado,não,verão,32.1,0.0,61.8,0.0,97.0%,2.05
14,quarta,não,outono,30.5,0.0,36.2,2.4,97.0%,2.29
19,sábado,não,outono,32.5,0.0,50.5,0.02,97.0%,3.61
21,segunda,não,verão,38.6,0.0,67.9,0.0,97.0%,2.17
0,sexta,não,verão,34.3,0.0,74.7,0.0,58.0%,2.29
11,sábado,não,outono,28.5,0.0,51.3,2.16,63.0%,1.69
19,sábado,não,inverno,20.7,0.0,67.9,0.0,9.0%,2.29
3,segunda,não,verão,38.1,0.0,55.8,0.0,96.0%,2.77
1,terça,não,verão,33.7,0.0,89.0,0.0,97.0%,0.97
1,domingo,não,inverno,13.7,0.0,60.3,0.0,97.0%,3.01
15,sábado,não,primavera,24.1,0.0,84.5,0.17,59.0%,4.09
0,quinta,não,primavera,29.0,0.0,70.1,0.0,91.0%,3.13
1,segunda,não,verão,37.3,0.0,58.8,0.0,97.0%,1.57
12,quarta,não,primavera,31.6,0.0,51.3,2.22,91.0%,3.49
6,segunda,não,primavera,23.6,0.0,83.0,0.01,52.0%,2.65
9,quinta,não,verão,40.3,0.0,55.0,1.53,90.0%,2.41
21,domingo,não,outono,23.4,0.0,74.7,0.0,97.0%,1.57
17,terça,não,inverno,18.5,0.0,37.7,0.45,96.0%,3.13
4,quarta,não,verão,34.5,0.0,80.7,0.0,30.0%,1.09
22,sábado,não,verão,36.7,0.0,70.9,0.0,97.0%,3.49
9,segunda,não,verão,34.8,0.0,62.6,1.8,30.0%,1.57
15,domingo,não,inverno,17.5,0.0,41.5,0.47,84.0%,1.21
0,sábado,não,inverno,21.4,0.0,79.9,0.0,12.0%,3.85
17,terça,não,outono,24.9,0.0,48.3,0.47,97.0%,3.37
5,quinta,não,inverno,14.1,0.0,46.0,0.0,97.0%,2.05
10,quinta,não,verão,38.5,0.0,57.3,0.93,97.0%,2.41
8,sábado,não,outono,23.5,0.0,70.9,0.29,50.0%,1.93
21,domingo,sim,inverno,18.6,0.0,70.1,0.0,23.0%,4.45
13,domingo,não,outono,30.1,0.58,85.2,0.62,97.0%,6.25
22,quarta,não,primavera,28.2,0.0,62.6,0.0,85.0%,1.45
23,quarta,não,primavera,29.3,0.0,78.4,0.0,31.0%,2.05
20,quarta,não,primavera,32.9,0.58,91.2,0.0,8.0%,2.89
16,segunda,não,outono,31.9,0.0,51.3,1.09,39.0%,2.89
7,sexta,não,primavera,20.8,0.0,62.6,0.0,97.0%,3.73
8,segunda,não,primavera,24.2,5.76,89.7,0.03,25.0%,3.61
0,domingo,não,primavera,29.1,0.0,78.4,0.0,29.0%,2.53
23,sábado,não,outono,26.1,0.0,61.8,0.0,76.0%,0.25
20,quarta,não,outono,25.3,0.0,57.3,0.0,56.0%,1.93
0,sábado,sim,inverno,16.5,0.0,49.0,0.0,83.0%,4.09
22,sábado,não,outono,34.5,0.0,71.6,0.0,97.0%,3.25
17,quarta,não,inverno,10.5,0.0,37.7,0.39,97.0%,4.45
2,quinta,não,primavera,24.2,0.0,50.5,0.0,73.0%,1.45
0,terça,não,inverno,16.0,0.0,54.3,0.0,96.0%,1.33
10,segunda,não,outono,27.7,0.0,67.9,0.58,40.0%,0.97
8,terça,não,primavera,21.2,0.0,50.5,0.37,97.0%,5.29
21,quinta,não,primavera,32.0,4.61,91.2,0.0,35.0%,1.57
10,domingo,não,inverno,14.8,0.0,42.2,0.62,97.0%,5.65
1,terça,não,outono,20.3,0.0,50.5,0.0,85.0%,1.45
10,quinta,não,verão,41.3,0.0,52.8,1.94,92.0%,2.65
9,quinta,não,outono,31.6,0.0,56.6,1.46,93.0%,0.97
5,quarta,não,outono,31.2,0.0,73.1,0.0,87.0%,1.33
12,terça,não,verão,35.5,0.0,73.9,1.16,95.0%,4.33
19,sexta,não,inverno,18.0,0.0,50.5,0.0,81.0%,3.25
19,quinta,não,verão,39.9,0.0,65.6,0.41,51.0%,2.77
15,domingo,não,outono,32.3,0.0,68.6,2.05,97.0%,5.17
3,quinta,não,primavera,22.1,1.73,87.5,0.0,22.0%,2.65
4,sábado,não,primavera,25.2,0.92,72.4,0.0,97.0%,1.45
9,terça,não,outono,19.9,0.0,50.5,0.52,92.0%,1.69
5,segunda,sim,outono,25.5,0.0,66.4,0.0,97.0%,1.21
14,sábado,não,verão,34.4,0.0,56.6,1.58,97.0%,1.57
19,domingo,não,primavera,27.1,0.0,39.2,0.22,97.0%,3.73
0,segunda,não,primavera,20.3,0.0,72.4,0.0,23.0%,3.01
18,domingo,não,outono,35.7,0.0,44.5,0.2,97.0%,0.61
21,domingo,não,verão,33.5,0.0,67.9,0.0,52.0%,1.33
5,quinta,não,outono,32.0,0.0,70.9,0.0,97.0%,1.69
10,sábado,não,outono,18.6,0.0,91.2,0.0,10.0%,2.41
8,quinta,não,inverno,13.7,0.0,55.0,0.0,96.0%,2.05
3,quarta,não,inverno,20.7,0.0,82.2,0.0,10.0%,3.01
0,segunda,não,primavera,23.1,0.0,81.4,0.0,9.0%,3.01
7,sexta,não,verão,35.0,0.0,80.7,0.13,66.0%,1.45
10,quarta,não,inverno,11.9,0.0,42.2,1.14,97.0%,4.69
22,domingo,não,outono,33.4,0.0,63.3,0.0,97.0%,1.45
6,quinta,não,inverno,18.0,2.88,86.0,0.0,4.0%,1.33
23,sábado,não,primavera,22.6,0.0,62.6,0.0,47.0%,1.57
7,terça,não,outono,25.3,0.0,71.6,0.0,27.0%,0.97
15,domingo,não,verão,36.5,0.0,56.6,2.4,29.0%,3.37
7,domingo,não,primavera,28.5,0.0,63.3,0.35,97.0%,2.65
10,sábado,não,inverno,15.1,0.0,61.1,0.47,76.0%,3.85
3,sábado,não,primavera,26.1,0.0,58.1,0.0,93.0%,1.57
20,quinta,não,outono,27.5,0.0,60.3,0.0,97.0%,2.53
11,sexta,não,verão,35.7,0.0,46.0,2.79,53.0%,3.13
3,terça,sim,primavera,28.7,0.0,18.1,0.0,69.0%,1.09
1,sexta,não,inverno,18.5,0.0,65.6,0.0,37.0%,1.09
3,sábado,não,primavera,25.5,0.0,73.1,0.0,97.0%,1.81
3,sábado,não,outono,32.7,0.0,78.4,0.0,97.0%,1.69
12,domingo,não,primavera,24.0,0.0,43.7,2.55,91.0%,2.53
16,sábado,não,primavera,33.8,0.0,40.7,1.49,87.0%,5.65
18,terça,não,primavera,29.7,0.0,41.5,0.93,73.0%,4.21
6,sábado,não,outono,22.7,0.0,67.1,0.0,97.0%,2.17
14,terça,não,inverno,19.8,0.0,36.2,1.66,83.0%,5.65
19,domingo,não,verão,33.5,0.0,70.1,0.08,97.0%,2.53
12,sábado,não,primavera,24.5,0.0,48.3,2.47,29.0%,3.37
5,sexta,não,inverno,13.8,0.0,64.1,0.0,84.0%,0.49
12,quinta,não,inverno,18.9,0.0,40.0,0.88,86.0%,2.53
0,sexta,não,inverno,14.5,0.0,58.1,0.0,61.0%,0.97
20,quinta,não,primavera,28.7,0.0,46.8,0.0,36.0%,2.29
13,segunda,não,verão,41.1,0.0,49.0,2.31,97.0%,2.29
8,sábado,não,outono,23.3,0.0,70.9,0.36,67.0%,0.85
14,terça,não,verão,32.3,2.88,91.2,0.26,19.0%,1.09
10,sexta,não,primavera,29.9,0.0,57.3,2.38,60.0%,3.01
11,domingo,não,outono,22.3,0.0,67.9,1.37,28.0%,1.33
14,domingo,não,outono,37.1,0.0,40.0,3.09,97.0%,2.65
17,sábado,não,primavera,28.3,0.0,34.7,0.96,95.0%,3.25
4,quinta,não,verão,30.0,0.0,81.4,0.0,97.0%,1.21
16,terça,não,inverno,18.5,0.0,30.9,0.87,97.0%,6.13
23,terça,não,outono,23.4,0.0,55.0,0.0,96.0%,0.97
15,segunda,não,inverno,14.1,0.0,40.7,1.89,94.0%,6.13
11,quinta,sim,inverno,18.4,0.0,34.7,1.84,97.0%,2.65
8,quarta,não,inverno,18.2,0.0,90.5,0.01,8.0%,1.21
8,sábado,não,primavera,18.6,0.0,46.8,0.16,76.0%,2.41
11,domingo,não,verão,37.0,0.0,52.8,2.73,97.0%,2.29
19,quinta,não,inverno,17.1,0.0,44.5,0.0,76.0%,1.93
17,domingo,não,outono,31.9,0.0,41.5,1.06,97.0%,4.09
5,segunda,sim,inverno,15.4,0.0,58.8,0.0,87.0%,1.21
2,domingo,não,inverno,16.0,0.0,76.9,0.0,22.0%,1.45
6,segunda,não,primavera,29.1,0.0,18.1,0.05,77.0%,0.85
9,segunda,não,verão,36.7,0.0,58.8,0.81,97.0%,1.45
21,quinta,não,verão,32.5,0.0,89.0,0.0,64.0%,0.61
6,quarta,sim,verão,30.7,0.0,73.1,0.06,50.0%,1.57
22,sábado,não,primavera,24.2,0.0,76.2,0.0,61.0%,4.09
3,sexta,não,inverno,18.9,4.26,91.2,0.0,12.0%,1.69
13,quarta,não,verão,34.9,0.0,57.3,1.7,76.0%,2.41
9,terça,não,primavera,26.0,0.0,50.5,1.43,89.0%,2.29
21,domingo,não,primavera,30.2,0.0,37.7,0.0,97.0%,1.81
23,terça,não,inverno,13.3,0.0,46.0,0.0,97.0%,3.97
23,segunda,não,verão,37.3,0.0,64.9,0.0,92.0%,6.13
15,quinta,não,verão,41.7,0.0,46.8,2.8,97.0%,2.65
6,quinta,não,verão,38.6,0.0,58.8,0.01,97.0%,1.81
17,domingo,não,primavera,28.9,0.0,48.3,1.28,23.0%,3.01
22,quarta,não,verão,36.4,0.0,77.7,0.0,77.0%,1.69
3,domingo,não,verão,36.7,0.0,70.1,0.0,97.0%,1.33
11,quarta,não,verão,39.7,0.0,55.0,2.63,91.0%,2.17
9,segunda,não,inverno,20.9,0.23,83.0,0.11,19.0%,2.29
11,sexta,não,inverno,20.9,0.0,72.4,1.1,11.0%,1.33
18,domingo,não,inverno,21.1,0.0,48.3,0.1,65.0%,2.77
18,domingo,não,inverno,20.2,0.0,37.0,0.22,97.0%,3.85
8,segunda,não,outono,32.0,0.0,86.0,0.53,24.0%,2.53
6,domingo,não,inverno,13.3,0.0,53.5,0.0,97.0%,3.01
19,sábado,não,verão,37.3,0.0,52.0,0.23,97.0%,2.17
9,domingo,não,inverno,12.7,0.0,39.2,0.49,95.0%,2.89
7,sexta,não,inverno,12.2,0.0,43.7,0.0,95.0%,2.65
8,segunda,não,verão,37.5,0.0,60.3,1.08,97.0%,1.93
21,sexta,não,verão,38.7,0.0,70.9,0.0,75.0%,2.17
1,quinta,não,inverno,18.2,0.0,58.8,0.0,85.0%,0.85
3,quinta,não,verão,36.9,0.0,70.1,0.0,97.0%,1.21
4,quarta,não,outono,29.3,0.0,62.6,0.0,97.0%,2.29
15,quinta,não,outono,32.1,0.0,42.2,1.4,80.0%,1.93
9,domingo,não,verão,33.1,1.73,89.0,0.22,30.0%,1.33
17,segunda,não,primavera,29.7,0.0,41.5,1.33,52.0%,4.21
4,quinta,não,verão,33.4,0.0,67.9,0.0,97.0%,1.33
0,sábado,não,primavera,26.5,0.0,62.6,0.0,84.0%,1.69
5,domingo,não,verão,34.7,0.0,82.2,0.0,66.0%,1.09
7,sábado,não,inverno,9.9,0.0,49.0,0.0,97.0%,4.69
12,sexta,não,verão,35.5,0.0,79.2,0.8,89.0%,4.09
17,sábado,não,verão,36.6,0.0,74.7,0.46,30.0%,3.01
13,sábado,não,inverno,15.9,0.0,35.4,1.12,96.0%,5.05
1,quarta,não,inverno,17.3,0.0,79.2,0.0,56.0%,1.57
16,quarta,não,outono,24.7,0.0,30.9,0.77,83.0%,3.85
14,sexta,não,outono,31.5,0.0,42.2,2.25,96.0%,3.01
5,sábado,não,primavera,21.5,0.0,58.8,0.0,26.0%,1.81
17,sexta,sim,inverno,21.9,0.0,64.1,0.08,34.0%,1.81
15,quarta,não,primavera,31.0,0.0,33.9,2.88,84.0%,4.21
17,quinta,sim,inverno,19.9,0.0,30.9,0.78,97.0%,3.97
12,quinta,não,primavera,30.3,0.0,58.1,1.53,66.0%,3.97
23,quinta,não,outono,23.5,0.0,65.6,0.0,75.0%,0.73
18,quarta,não,inverno,19.5,0.0,30.2,0.31,97.0%,4.33
16,quarta,não,inverno,15.3,0.0,37.7,0.56,97.0%,2.89
5,terça,não,verão,34.4,0.0,79.2,0.0,80.0%,1.33
2,domingo,não,outono,24.9,0.0,65.6,0.0,77.0%,0.97
12,segunda,não,inverno,19.9,0.0,57.3,1.08,60.0%,1.33
15,sábado,não,inverno,22.5,0.0,59.6,0.68,17.0%,3.85
6,sábado,não,outono,22.7,0.0,78.4,0.0,69.0%,1.45
22,quarta,não,primavera,27.4,0.0,73.1,0.0,31.0%,2.65
1,sexta,não,verão,31.8,0.0,74.7,0.0,26.0%,1.93
21,sexta,não,outono,32.7,0.58,91.2,0.0,31.0%,0.85
8,segunda,não,outono,21.7,0.0,68.6,0.24,96.0%,0.61
4,segunda,não,primavera,29.8,0.0,18.1,0.0,79.0%,0.73
2,sábado,não,outono,32.7,0.0,83.0,0.0,66.0%,0.49
20,quarta,não,verão,39.0,0.0,67.9,0.02,90.0%,3.73
18,quinta,não,verão,41.3,0.0,48.3,0.65,97.0%,2.41
11,quinta,não,inverno,11.5,0.0,49.0,0.84,79.0%,4.45
2,domingo,não,verão,33.1,0.0,81.4,0.0,97.0%,0.97
11,domingo,não,inverno,21.2,0.0,40.0,1.87,63.0%,3.37
3,quarta,não,primavera,33.4,0.92,85.2,0.0,16.0%,1.09
10,quarta,não,primavera,32.6,0.0,71.6,1.43,23.0%,2.29
21,sábado,não,primavera,27.6,0.0,46.0,0.0,85.0%,1.57
12,domingo,não,inverno,15.1,0.0,37.0,1.08,96.0%,3.37
16,segunda,não,primavera,33.5,0.0,49.8,1.13,97.0%,2.53
3,quinta,não,inverno,14.2,0.0,48.3,0.0,97.0%,1.33
2,sábado,sim,outono,27.1,0.0,76.2,0.0,96.0%,1.69
4,segunda,não,primavera,22.5,0.0,86.0,0.0,12.0%,1.45
4,domingo,não,outono,30.3,0.0,62.6,0.0,97.0%,2.05
4,quinta,não,primavera,28.4,0.0,83.0,0.0,43.0%,2.77
19,domingo,não,inverno,20.5,0.0,61.8,0.0,50.0%,2.29
11,domingo,sim,inverno,21.4,0.0,89.7,0.05,8.0%,1.21
19,quarta,não,primavera,27.9,0.0,58.1,0.17,97.0%,2.77
8,domingo,não,primavera,21.7,0.0,77.7,0.23,10.0%,1.57
4,sábado,não,outono,24.2,0.0,64.1,0.0,97.0%,3.61
21,domingo,não,inverno,20.4,0.0,61.8,0.0,46.0%,0.73
5,domingo,não,outono,21.5,0.0,74.7,0.0,72.0%,1.09
20,quinta,sim,inverno,18.1,0.0,38.5,0.0,97.0%,2.89
17,sábado,não,primavera,25.7,0.0,37.0,1.19,86.0%,2.65
8,sexta,não,primavera,20.9,0.0,60.3,0.32,97.0%,3.13
18,sábado,não,verão,37.7,0.0,79.2,0.22,48.0%,1.21
9,domingo,sim,outono,30.6,0.0,62.6,0.86,95.0%,1.45
22,quinta,não,primavera,30.7,0.0,58.8,0.0,65.0%,3.01
19,quarta,não,inverno,12.8,0.0,40.0,0.0,97.0%,5.17
0,segunda,não,inverno,16.5,0.12,76.2,0.0,16.0%,0.25
8,sábado,não,inverno,14.0,0.0,72.4,0.0,33.0%,1.21
13,quarta,não,outono,29.8,0.0,50.5,1.68,89.0%,3.01
13,segunda,não,outono,31.3,0.0,44.5,1.73,33.0%,1.69
19,domingo,não,inverno,22.1,0.0,82.2,0.0,15.0%,2.29
3,quinta,não,primavera,32.9,2.88,92.0,0.0,6.0%,0.97
14,terça,sim,primavera,33.5,0.0,58.1,0.98,79.0%,1.93
7,terça,não,outono,21.3,0.0,72.4,0.0,58.0%,0.61
13,domingo,não,inverno,22.3,0.0,45.2,1.12,87.0%,2.41
23,terça,não,outono,26.9,0.0,76.9,0.0,58.0%,0.97
12,sábado,não,primavera,32.9,0.0,44.5,2.74,77.0%,4.33
2,sexta,não,outono,24.5,0.0,72.4,0.0,97.0%,2.05
19,terça,não,inverno,22.4,0.0,51.3,0.0,37.0%,1.45
18,terça,não,outono,26.5,0.0,70.1,0.01,30.0%,2.77
15,segunda,não,inverno,14.8,0.0,43.0,0.99,97.0%,6.01
9,segunda,não,primavera,29.9,0.0,89.0,0.16,11.0%,1.09
0,sábado,não,inverno,17.5,0.0,68.6,0.0,48.0%,5.77
8,quarta,não,outono,21.7,0.0,76.2,0.07,54.0%,2.05
16,sábado,não,inverno,17.5,0.0,65.6,0.19,43.0%,1.33
23,terça,não,inverno,15.3,0.0,59.6,0.0,93.0%,0.73
1,sábado,não,verão,30.6,0.0,62.6,0.0,97.0%,1.81
8,sexta,não,inverno,13.4,0.0,61.8,0.01,92.0%,2.89
4,quinta,não,outono,24.0,0.0,80.7,0.0,77.0%,1.69
3,terça,não,primavera,21.5,0.0,51.3,0.0,97.0%,4.81
21,segunda,não,verão,40.4,0.0,54.3,0.0,97.0%,1.57
3,quarta,não,primavera,23.6,0.0,52.0,0.0,86.0%,1.09
20,domingo,não,verão,35.2,0.0,85.2,0.0,36.0%,0.61
20,quarta,não,primavera,29.5,0.0,64.1,0.05,97.0%,2.53
4,sábado,não,verão,30.4,0.0,75.4,0.0,27.0%,2.41
14,sexta,não,outono,23.5,0.0,33.2,1.67,97.0%,2.89
23,sexta,não,inverno,18.5,0.0,78.4,0.0,13.0%,1.21
9,terça,não,primavera,32.2,0.0,58.1,1.58,19.0%,1.21
23,quarta,não,primavera,28.9,1.15,92.0,0.0,11.0%,2.17
18,sábado,sim,inverno,18.1,0.0,30.9,0.2,97.0%,2.53
11,domingo,não,primavera,25.5,0.0,60.3,2.27,13.0%,2.65
1,terça,não,verão,31.1,0.0,61.1,0.0,97.0%,1.21
11,quinta,não,primavera,31.8,0.0,52.0,2.33,92.0%,1.57
23,quinta,não,verão,33.0,0.0,59.6,0.0,97.0%,2.29
8,quarta,não,primavera,19.9,0.0,51.3,0.41,67.0%,5.41
20,quarta,não,inverno,19.0,0.0,85.2,0.0,20.0%,2.53
12,domingo,não,inverno,19.1,0.0,43.7,0.6,71.0%,1.33
10,sexta,não,outono,35.0,0.0,53.5,2.17,97.0%,2.05
19,sexta,não,verão,39.0,0.0,41.5,0.34,97.0%,2.05
3,segunda,não,primavera,24.9,0.58,88.2,0.0,48.0%,3.01
9,terça,não,verão,34.5,0.0,78.4,0.57,83.0%,1.69
21,sábado,não,verão,34.3,0.0,71.6,0.0,97.0%,3.01
1,quarta,não,outono,21.6,0.0,37.7,0.0,48.0%,3.37
10,quinta,não,outono,28.9,1.73,85.2,0.18,36.0%,2.41
7,sábado,sim,outono,25.8,0.0,82.2,0.02,78.0%,0.61
8,quinta,não,primavera,25.9,0.0,52.8,1.04,87.0%,1.69
17,terça,não,verão,35.1,0.0,56.6,1.15,83.0%,3.13
22,domingo,não,verão,35.0,0.0,83.0,0.0,39.0%,0.85
21,domingo,não,outono,28.5,0.0,48.3,0.0,97.0%,3.85
4,segunda,não,primavera,22.0,0.0,90.5,0.0,3.0%,2.65
6,quinta,não,outono,23.4,0.0,79.9,0.0,94.0%,0.61
17,quinta,não,outono,34.5,0.0,41.5,1.17,97.0%,2.05
1,segunda,não,verão,32.3,0.0,73.9,0.0,48.0%,0.85
19,sábado,não,primavera,28.5,0.0,49.0,0.08,85.0%,2.65
13,sexta,não,primavera,34.5,0.0,40.7,3.03,41.0%,2.05
11,domingo,não,inverno,15.4,0.0,48.3,0.69,81.0%,1.21
8,quarta,sim,primavera,19.3,0.0,78.4,0.04,61.0%,4.09
1,domingo,não,outono,24.2,0.0,85.2,0.0,10.0%,1.09
12,sexta,não,verão,40.8,0.0,58.1,2.5,48.0%,2.53
23,sábado,não,primavera,29.0,0.0,43.0,0.0,97.0%,0.85
11,sexta,não,primavera,29.4,0.0,90.5,0.41,26.0%,1.09
15,quinta,não,verão,35.8,0.0,49.8,1.59,96.0%,3.49
16,domingo,não,verão,33.1,1.15,91.2,0.25,85.0%,1.57
10,quinta,não,inverno,16.0,0.0,36.2,0.65,97.0%,1.69
18,domingo,não,verão,42.2,0.0,44.5,1.21,97.0%,1.81
13,quarta,não,verão,41.9,0.0,49.0,3.1,94.0%,2.77
23,quinta,não,verão,32.8,0.0,90.5,0.0,14.0%,0.61
16,segunda,sim,inverno,18.6,0.0,38.5,0.58,97.0%,2.65
22,segunda,não,verão,32.0,0.0,76.9,0.0,27.0%,1.33
4,sábado,não,outono,23.1,0.0,77.7,0.0,76.0%,1.69
2,segunda,não,inverno,15.0,0.0,67.1,0.0,48.0%,0.73
11,quarta,não,verão,34.7,0.0,56.6,1.97,65.0%,2.05
16,quinta,não,inverno,12.9,0.0,47.5,0.63,88.0%,3.61
8,domingo,não,inverno,15.9,0.0,58.1,0.0,60.0%,0.85
5,segunda,não,outono,21.7,0.0,75.4,0.0,97.0%,1.09
6,quinta,não,primavera,30.9,0.0,92.0,0.0,16.0%,0.61
20,sábado,não,primavera,33.2,0.0,55.8,0.05,74.0%,3.49
1,terça,não,verão,36.1,0.0,55.8,0.0,43.0%,2.41
7,segunda,não,verão,37.9,0.0,61.8,0.23,97.0%,1.21
