hora,dia,feriado,estação,temperatura,chuva,umidade,sol,visibilidade,vento,aluguéis
17,domingo,não,outono,30.9,0.0,36.2,0.63,97.0%,2.77,1892
2,domingo,não,inverno,13.5,0.0,61.1,0.0,96.0%,2.65,137
23,sexta,não,primavera,26.6,0.0,82.2,0.0,18.0%,1.57,9
2,domingo,não,outono,20.3,0.0,55.0,0.0,97.0%,2.65,341
2,sexta,não,inverno,13.8,0.0,61.8,0.0,53.0%,0.73,173
9,terça,não,outono,25.5,0.58,76.9,0.13,97.0%,3.37,9
7,domingo,sim,outono,29.3,0.0,73.9,0.0,97.0%,0.73,275
20,quinta,não,primavera,21.2,0.0,61.1,0.0,97.0%,1.81,591
20,sexta,não,primavera,27.9,0.0,65.6,0.0,46.0%,3.37,1059
9,quarta,não,inverno,13.9,0.0,64.9,0.09,85.0%,1.57,250
6,quarta,não,inverno,11.8,0.0,46.0,0.0,97.0%,2.29,117
4,domingo,não,verão,36.5,0.0,69.4,0.0,97.0%,1.09,213
2,terça,não,verão,36.7,0.0,80.7,0.0,54.0%,3.49,523
17,quinta,não,inverno,21.4,0.0,57.3,0.5,52.0%,4.93,472
11,quarta,não,verão,36.3,0.0,73.9,0.45,97.0%,4.09,685
5,sábado,não,outono,25.5,0.0,79.9,0.0,87.0%,0.61,7
4,sexta,não,primavera,30.4,1.15,92.0,0.0,11.0%,2.29,36
9,sexta,não,outono,33.9,0.0,57.3,1.53,97.0%,1.81,728
14,domingo,não,inverno,16.2,0.0,37.7,1.07,94.0%,3.97,280
2,terça,não,outono,19.7,0.0,60.3,0.0,97.0%,0.85,295
21,sábado,não,outono,33.9,0.0,78.4,0.0,91.0%,1.09,1725
11,sábado,não,verão,38.3,0.0,63.3,2.61,91.0%,3.01,947
8,segunda,não,primavera,23.2,0.0,81.4,0.05,40.0%,2.89,604
6,terça,sim,outono,25.8,0.0,70.9,0.0,97.0%,1.33,141
18,domingo,não,verão,33.9,0.0,68.6,0.36,97.0%,0.97,1484
4,sábado,não,outono,25.5,0.0,83.7,0.0,47.0%,2.29,62
13,quarta,não,outono,28.0,0.0,73.9,0.75,30.0%,1.81,813
22,sábado,não,inverno,19.3,0.0,54.3,0.0,21.0%,3.13,240
10,sábado,não,inverno,18.9,0.0,73.1,0.15,12.0%,0.85,218
3,quinta,não,outono,30.2,0.0,63.3,0.0,97.0%,0.49,513
1,quarta,não,primavera,19.7,0.0,74.7,0.0,32.0%,1.45,320
13,sábado,não,primavera,24.2,0.0,88.2,0.38,29.0%,2.29,75
0,terça,não,outono,28.7,0.0,67.1,0.0,97.0%,1.21,5
3,sábado,não,inverno,14.0,0.0,49.8,0.0,97.0%,1.09,92
17,domingo,sim,inverno,19.5,0.0,40.7,0.22,97.0%,3.73,254
9,domingo,não,outono,29.5,6.91,91.2,0.05,27.0%,3.73,12
21,segunda,sim,outono,29.5,0.0,57.3,0.0,97.0%,2.17,14
14,sexta,não,verão,38.0,0.0,64.9,1.79,95.0%,3.49,1006
1,terça,não,verão,38.5,0.0,61.1,0.0,97.0%,1.09,707
12,quarta,não,outono,29.5,0.0,54.3,2.1,81.0%,2.17,1136
18,sexta,não,inverno,9.9,0.0,43.0,0.05,89.0%,3.25,314
18,quarta,não,primavera,34.1,0.0,49.8,1.23,97.0%,2.77,3260
18,sábado,não,inverno,13.3,0.0,45.2,0.11,97.0%,4.21,405
1,domingo,não,outono,29.5,1.15,85.2,0.0,88.0%,3.13,8
22,terça,não,inverno,14.7,0.0,60.3,0.0,97.0%,2.05,228
21,segunda,não,primavera,25.7,0.0,47.5,0.0,84.0%,2.05,1366
16,quinta,não,inverno,21.9,0.0,71.6,0.2,30.0%,4.45,228
23,domingo,não,outono,27.1,0.0,73.1,0.0,80.0%,1.69,816
18,sábado,não,inverno,20.7,0.0,40.7,0.31,84.0%,3.73,387
11,terça,não,inverno,20.9,0.0,61.1,0.28,18.0%,1.21,264
11,segunda,não,outono,34.7,0.0,66.4,2.7,97.0%,3.49,953
9,quinta,não,outono,30.1,0.0,54.3,1.3,97.0%,2.05,1133
20,terça,não,outono,33.4,0.0,61.8,0.0,97.0%,1.93,14
16,terça,não,outono,26.9,0.0,46.8,0.94,72.0%,3.37,1205
11,sábado,não,primavera,34.9,0.0,43.7,2.92,70.0%,1.33,1179
13,terça,não,primavera,24.9,0.0,47.5,1.61,93.0%,2.53,523
14,domingo,não,verão,40.6,0.0,41.5,2.73,96.0%,1.69,977
1,domingo,não,inverno,15.7,0.0,56.6,0.0,75.0%,0.49,170
15,sábado,não,outono,35.1,0.0,71.6,0.41,97.0%,0.49,1086
17,domingo,não,primavera,32.8,0.0,46.8,1.17,97.0%,2.65,2029
8,terça,não,inverno,19.7,0.0,56.6,0.0,48.0%,1.09,779
22,sábado,sim,outono,29.6,0.0,65.6,0.0,97.0%,0.49,1403
6,terça,não,inverno,19.4,0.0,76.9,0.0,22.0%,2.17,56
8,terça,não,outono,27.6,0.0,69.4,0.34,93.0%,1.33,9
7,sexta,não,verão,33.6,0.0,80.7,0.01,55.0%,0.97,838
13,quarta,não,inverno,23.7,0.0,58.8,0.57,21.0%,2.41,285
4,sábado,não,outono,19.5,0.0,73.9,0.0,60.0%,2.29,206
11,terça,sim,primavera,32.9,0.0,59.6,1.87,89.0%,1.93,1447
2,domingo,não,primavera,27.6,0.0,50.5,0.0,97.0%,1.33,479
5,terça,não,primavera,18.8,0.0,90.5,0.0,10.0%,1.45,106
14,sábado,não,outono,36.9,0.0,53.5,1.65,91.0%,4.09,1037
6,domingo,não,primavera,29.9,0.0,64.9,0.03,63.0%,1.93,244
18,segunda,não,inverno,19.1,3.8,90.5,0.0,9.0%,3.85,185
2,quarta,não,primavera,23.5,0.0,63.3,0.0,97.0%,0.61,311
10,segunda,não,primavera,26.6,0.0,43.7,2.24,95.0%,1.69,706
17,domingo,não,verão,37.1,0.0,46.0,1.56,66.0%,4.57,2129
14,sexta,sim,primavera,33.7,0.0,66.4,1.59,25.0%,3.61,1543
4,quinta,não,outono,30.1,0.0,61.1,0.0,97.0%,1.81,226
6,sexta,não,outono,26.7,0.0,66.4,0.0,66.0%,1.81,384
8,sexta,não,verão,32.9,0.0,61.8,1.29,38.0%,1.69,2298
18,terça,não,verão,34.5,21.31,91.2,0.01,5.0%,1.21,106
10,terça,não,inverno,15.3,0.0,49.0,0.57,88.0%,3.61,163
3,sexta,não,verão,30.9,6.22,88.2,0.0,20.0%,1.45,165
15,sexta,não,outono,32.9,0.0,75.4,1.2,97.0%,1.93,1300
0,sexta,não,primavera,23.9,0.0,83.0,0.0,97.0%,2.89,295
12,quarta,sim,verão,36.5,0.0,56.6,3.16,34.0%,3.61,1410
4,sexta,não,outono,23.7,0.0,79.2,0.0,32.0%,0.73,120
5,quarta,não,outono,22.9,0.0,83.0,0.0,34.0%,0.85,130
2,segunda,não,inverno,16.3,0.0,77.7,0.0,91.0%,0.25,128
6,quarta,não,verão,37.1,0.0,74.7,0.01,53.0%,2.41,664
9,domingo,não,outono,31.9,0.0,56.6,1.43,97.0%,2.41,814
20,sábado,não,verão,36.4,0.0,68.6,0.06,95.0%,3.73,2428
20,quinta,não,verão,33.4,0.0,73.9,0.01,78.0%,1.69,1562
13,terça,não,outono,33.9,0.0,47.5,1.72,97.0%,1.93,14
6,sábado,não,inverno,18.3,0.0,63.3,0.0,53.0%,0.73,56
0,segunda,não,primavera,31.5,0.0,75.4,0.0,19.0%,0.85,617
22,sexta,não,primavera,27.8,0.0,73.1,0.0,97.0%,2.53,1226
23,quarta,não,inverno,17.6,0.0,83.7,0.0,17.0%,1.93,162
1,terça,não,primavera,24.1,0.0,70.9,0.0,19.0%,1.33,290
19,quinta,não,primavera,35.1,0.0,58.1,0.51,97.0%,3.97,2546
6,quinta,não,inverno,10.3,0.0,64.1,0.0,83.0%,3.01,89
10,segunda,não,primavera,23.7,0.0,73.1,1.44,80.0%,3.61,542
5,terça,não,outono,20.7,0.0,81.4,0.0,15.0%,0.97,149
15,terça,não,inverno,18.8,0.0,37.0,1.12,97.0%,3.85,298
10,quarta,não,verão,35.9,0.0,76.9,0.44,97.0%,3.49,655
9,quarta,sim,verão,33.6,0.0,60.3,1.74,37.0%,3.01,940
14,segunda,não,primavera,30.0,0.0,89.0,0.35,21.0%,0.61,391
1,quarta,sim,primavera,19.7,0.0,91.2,0.0,42.0%,0.49,156
17,quinta,não,outono,31.1,0.0,45.2,0.38,80.0%,1.09,1966
11,domingo,não,primavera,24.0,0.0,55.0,0.76,35.0%,1.09,593
23,segunda,não,verão,38.1,0.0,65.6,0.0,97.0%,0.37,1091
8,segunda,não,inverno,15.3,0.0,83.0,0.0,25.0%,1.69,157
21,quinta,não,outono,30.8,0.0,54.3,0.0,97.0%,1.81,1945
0,domingo,não,outono,31.4,0.0,58.1,0.0,97.0%,2.05,1195
11,sexta,sim,primavera,33.5,0.0,65.6,1.36,29.0%,1.57,1122
3,terça,não,primavera,29.4,0.0,73.9,0.0,20.0%,0.73,254
11,quarta,não,verão,38.8,0.0,65.6,1.13,64.0%,4.33,756
7,quarta,não,primavera,27.7,0.0,70.1,0.0,82.0%,1.57,798
2,domingo,não,primavera,29.7,0.0,73.1,0.0,58.0%,2.17,288
21,sábado,não,primavera,20.2,0.0,84.5,0.0,29.0%,2.77,177
0,quinta,não,verão,38.8,0.0,57.3,0.0,97.0%,1.81,919
2,sábado,não,primavera,19.8,0.0,55.0,0.0,97.0%,2.53,204
16,sábado,não,verão,42.9,0.0,40.7,2.41,86.0%,3.61,890
22,segunda,sim,outono,29.4,0.0,53.5,0.0,97.0%,4.93,967
10,quinta,não,primavera,28.5,0.0,41.5,1.84,86.0%,2.17,711
14,sexta,não,verão,36.9,0.0,61.1,2.62,37.0%,2.77,1190
0,terça,não,outono,27.2,0.0,66.4,0.0,42.0%,2.29,736
22,sexta,sim,inverno,17.9,0.0,70.9,0.0,59.0%,4.33,126
21,sexta,não,outono,30.2,0.0,67.9,0.0,97.0%,1.57,5
10,domingo,não,inverno,16.9,0.0,72.4,0.34,24.0%,2.29,144
19,quinta,não,verão,36.3,0.0,49.8,0.62,97.0%,3.13,2825
7,sexta,não,primavera,20.0,0.0,77.7,0.01,26.0%,1.93,669
12,sábado,não,outono,20.0,2.07,81.4,0.4,75.0%,2.53,180
8,terça,não,inverno,12.6,0.0,62.6,0.01,95.0%,1.45,465
9,terça,não,verão,33.3,0.0,64.9,0.93,37.0%,1.33,1396
5,domingo,não,inverno,17.9,0.0,49.0,0.0,70.0%,1.33,45
17,segunda,não,inverno,16.8,0.0,33.2,0.77,97.0%,2.89,329
5,sexta,não,verão,30.2,0.0,86.7,0.0,19.0%,2.89,303
4,segunda,não,inverno,16.1,0.0,74.7,0.0,97.0%,0.25,73
5,sábado,não,verão,32.8,0.0,84.5,0.0,14.0%,0.97,259
9,segunda,não,inverno,13.2,0.0,64.9,0.13,80.0%,4.57,235
15,quarta,não,verão,42.9,0.0,45.2,2.46,97.0%,1.45,855
17,domingo,não,outono,24.3,0.0,62.6,0.1,33.0%,1.09,825
9,segunda,não,verão,32.7,0.58,91.2,0.19,75.0%,1.33,83
12,sábado,não,verão,38.7,0.0,61.8,2.26,85.0%,3.25,1035
13,domingo,não,primavera,24.5,0.0,38.5,2.65,88.0%,2.89,539
19,sexta,não,primavera,23.4,1.73,90.5,0.0,64.0%,2.05,80
1,terça,não,inverno,17.3,0.0,64.9,0.0,97.0%,1.81,132
17,sexta,não,verão,37.3,0.0,63.3,1.33,49.0%,3.37,2112
3,sábado,não,outono,30.9,0.0,86.0,0.0,58.0%,1.45,473
9,sábado,sim,outono,27.9,0.0,64.1,1.21,65.0%,1.09,980
4,terça,não,inverno,12.0,0.0,55.0,0.0,97.0%,5.41,54
6,domingo,não,outono,19.6,0.0,58.1,0.0,88.0%,0.73,125
20,segunda,não,verão,39.0,0.0,66.4,0.01,97.0%,3.73,1852
5,sábado,não,primavera,26.5,0.0,57.3,0.0,96.0%,3.01,197
19,quarta,não,outono,34.0,0.0,61.8,0.0,89.0%,0.73,15
0,terça,sim,primavera,29.0,0.0,71.6,0.0,63.0%,0.85,972
10,quarta,não,inverno,17.6,0.0,48.3,0.64,97.0%,5.65,320
23,terça,não,inverno,13.9,0.0,44.5,0.0,97.0%,2.77,131
23,domingo,não,primavera,23.7,0.0,79.9,0.0,10.0%,1.81,346
1,quinta,sim,inverno,17.6,0.0,46.8,0.0,97.0%,3.61,131
22,quinta,não,inverno,9.7,0.0,57.3,0.0,97.0%,3.61,185
14,quarta,não,verão,36.2,0.0,76.2,0.11,96.0%,4.45,502
4,sábado,não,verão,31.7,0.0,65.6,0.0,97.0%,2.41,345
16,domingo,não,outono,32.5,0.0,39.2,1.77,97.0%,4.09,11
23,segunda,não,primavera,24.8,0.0,43.0,0.0,97.0%,0.73,739
19,sexta,não,verão,34.3,0.0,56.6,0.12,97.0%,3.01,2795
9,quarta,sim,primavera,18.4,0.0,76.9,0.09,30.0%,6.13,171
2,sábado,não,primavera,28.9,0.0,67.9,0.0,59.0%,0.97,583
3,segunda,não,outono,22.7,0.0,70.1,0.0,96.0%,0.61,237
7,domingo,não,inverno,16.2,0.0,58.8,0.0,54.0%,1.69,71
9,segunda,não,inverno,10.1,0.0,56.6,0.38,69.0%,4.81,105
17,quinta,não,verão,40.9,0.0,46.0,1.74,97.0%,2.89,1399
6,sexta,não,primavera,21.3,0.0,64.1,0.0,97.0%,2.29,232
8,segunda,não,primavera,22.3,0.0,86.0,0.32,89.0%,3.61,1240
21,segunda,não,primavera,26.1,0.0,58.8,0.0,34.0%,2.05,808
14,sexta,não,primavera,32.5,0.0,53.5,3.22,56.0%,4.69,12
17,quarta,não,primavera,30.1,0.0,52.0,0.7,95.0%,5.29,1228
14,domingo,não,verão,35.3,0.0,76.2,0.75,95.0%,1.21,1150
14,sexta,não,verão,37.1,0.0,51.3,3.11,31.0%,2.29,1122
7,sábado,não,primavera,25.9,0.0,18.1,0.46,97.0%,1.93,448
20,domingo,não,primavera,32.1,0.0,49.0,0.09,87.0%,3.01,2052
15,domingo,não,outono,32.3,0.0,35.4,1.87,92.0%,2.05,1896
8,domingo,não,inverno,15.8,0.0,77.7,0.0,20.0%,1.21,92
12,terça,não,outono,30.9,0.0,44.5,2.06,51.0%,1.69,1072
12,domingo,não,primavera,32.7,0.0,51.3,3.15,97.0%,2.77,1142
19,sábado,não,outono,23.7,0.0,49.8,0.0,97.0%,3.73,878
15,segunda,não,outono,36.6,0.0,43.0,2.5,95.0%,3.49,1219
4,segunda,não,verão,35.9,0.0,82.2,0.0,59.0%,0.73,221
18,domingo,não,outono,24.3,0.0,82.2,0.01,97.0%,2.41,658
22,sexta,não,outono,27.9,0.0,55.0,0.0,97.0%,1.57,1642
22,domingo,não,primavera,27.1,0.0,58.8,0.0,97.0%,2.89,1297
12,quarta,não,outono,29.1,0.0,40.0,2.45,94.0%,3.25,1094
15,sábado,não,inverno,21.2,0.0,64.1,0.23,13.0%,1.09,347
9,segunda,não,verão,38.7,0.0,58.1,1.74,97.0%,2.17,879
11,quinta,não,inverno,19.5,0.0,74.7,0.35,15.0%,2.41,266
5,sábado,não,verão,36.9,0.0,79.9,0.0,78.0%,1.45,298
1,segunda,não,outono,32.5,0.0,91.2,0.0,28.0%,1.57,493
4,quinta,não,inverno,14.3,0.0,52.0,0.0,97.0%,3.01,54
23,segunda,não,inverno,19.2,0.0,87.5,0.0,10.0%,0.97,202
8,sábado,não,verão,36.6,0.0,65.6,1.03,51.0%,1.33,728
6,terça,não,verão,30.2,0.0,61.8,0.04,97.0%,1.57,272
3,quinta,não,inverno,16.5,0.0,61.1,0.0,97.0%,0.85,81
16,quarta,não,inverno,23.7,0.0,45.2,1.09,49.0%,4.45,456
8,terça,não,primavera,32.0,0.0,67.9,0.34,52.0%,2.29,2246
17,quarta,não,primavera,32.5,0.0,43.7,1.82,96.0%,3.49,2041
3,quinta,não,verão,38.1,0.0,57.3,0.0,97.0%,1.93,316
20,domingo,não,primavera,25.5,0.0,70.9,0.0,11.0%,3.61,509
8,terça,não,verão,31.1,0.0,58.1,0.8,95.0%,2.29,695
3,quarta,não,inverno,19.1,0.0,67.1,0.0,78.0%,1.45,115
16,segunda,não,primavera,24.3,0.0,65.6,0.28,79.0%,3.85,279
5,terça,não,inverno,10.6,0.0,52.0,0.0,95.0%,3.61,78
19,sexta,não,outono,26.9,0.0,67.9,0.0,97.0%,3.25,1237
13,segunda,não,primavera,33.9,0.0,52.0,2.96,33.0%,2.41,1027
12,segunda,não,primavera,26.1,0.0,42.2,1.99,34.0%,2.17,591
14,quinta,não,outono,29.7,0.0,47.5,1.85,38.0%,2.65,1127
12,segunda,não,verão,41.1,0.0,53.5,2.94,91.0%,3.01,667
12,sábado,não,inverno,21.9,0.0,59.6,0.85,44.0%,3.37,339
10,quarta,não,outono,29.2,0.0,53.5,1.93,88.0%,4.57,861
1,quinta,não,verão,35.3,0.0,77.7,0.0,45.0%,1.21,830
11,terça,não,primavera,29.6,0.0,38.5,2.66,66.0%,2.05,829
5,quinta,não,verão,38.8,0.0,61.1,0.0,97.0%,1.33,271
4,domingo,não,primavera,21.9,0.0,79.9,0.0,10.0%,1.45,103
11,sábado,não,inverno,10.9,0.0,41.5,0.94,95.0%,3.13,145
23,segunda,não,inverno,11.5,0.0,54.3,0.0,97.0%,2.65,82
18,quinta,não,outono,26.2,0.0,50.5,0.03,97.0%,1.81,2268
9,terça,não,inverno,16.5,0.0,57.3,0.16,92.0%,3.73,305
19,quinta,não,primavera,31.1,0.0,59.6,0.01,97.0%,7.21,1159
11,quinta,não,primavera,29.8,0.0,44.5,2.93,84.0%,4.57,1030
5,terça,não,outono,30.3,0.0,76.2,0.0,81.0%,0.85,10
2,quinta,não,outono,32.5,0.0,67.9,0.0,97.0%,1.21,442
4,quinta,não,primavera,28.2,0.0,82.2,0.0,23.0%,1.09,195
9,quarta,não,primavera,27.9,0.0,52.8,1.77,92.0%,1.69,933
18,sexta,não,inverno,23.3,0.0,70.9,0.08,18.0%,6.25,674
20,segunda,sim,outono,29.7,0.0,55.0,0.0,97.0%,1.93,7
21,sexta,não,verão,36.5,0.0,78.4,0.0,91.0%,3.01,1937
4,domingo,não,primavera,28.6,0.0,65.6,0.0,97.0%,2.17,168
5,quarta,não,verão,33.4,0.0,91.2,0.0,67.0%,0.25,233
0,terça,não,inverno,11.0,0.0,56.6,0.0,97.0%,1.57,146
13,sexta,não,inverno,19.4,0.0,40.0,1.2,81.0%,2.89,309
1,sexta,não,verão,32.1,0.0,67.1,0.0,97.0%,1.69,725
15,segunda,não,inverno,20.7,0.0,70.1,0.17,32.0%,2.41,69
14,domingo,não,outono,33.9,0.0,72.4,0.73,33.0%,2.89,416
18,terça,não,verão,39.5,0.0,65.6,0.81,90.0%,5.05,1259
13,sábado,não,verão,41.8,0.0,43.7,3.21,80.0%,2.41,734
21,domingo,não,primavera,28.0,0.0,55.0,0.0,97.0%,2.53,1525
18,quinta,não,primavera,29.7,0.0,44.5,1.11,96.0%,4.33,2674
7,sábado,não,primavera,20.3,0.0,81.4,0.0,12.0%,2.53,130
1,quarta,não,inverno,18.9,0.0,49.8,0.0,65.0%,0.49,118
22,terça,não,primavera,24.7,0.0,49.0,0.0,70.0%,0.85,1077
18,sábado,não,primavera,20.7,0.0,34.7,0.43,96.0%,1.33,863
2,sábado,não,outono,32.8,0.0,76.9,0.0,97.0%,1.45,586
22,sexta,não,verão,37.5,0.0,67.1,0.0,97.0%,1.81,1794
4,sábado,não,outono,30.9,0.0,84.5,0.0,60.0%,1.21,110
5,quinta,sim,inverno,16.7,0.0,43.0,0.0,97.0%,3.97,41
12,terça,não,primavera,28.8,3.46,90.5,0.5,28.0%,1.57,83
15,sábado,não,outono,31.5,0.0,40.0,1.97,61.0%,2.65,1852
21,terça,não,outono,33.3,0.0,54.3,0.0,97.0%,1.93,2103
4,sábado,não,primavera,21.7,0.0,58.8,0.0,27.0%,1.69,132
17,quinta,não,primavera,25.6,0.0,92.0,0.09,11.0%,1.81,423
1,sábado,não,primavera,26.8,0.0,73.9,0.0,19.0%,2.41,685
23,quinta,não,inverno,14.6,0.0,58.1,0.0,63.0%,1.69,218
10,quarta,não,inverno,19.1,0.0,80.7,0.41,15.0%,1.09,329
20,quinta,não,outono,28.5,0.0,55.8,0.0,80.0%,0.85,1608
13,domingo,não,primavera,32.9,0.0,54.3,2.14,54.0%,3.25,828
6,terça,não,primavera,23.1,0.0,59.6,0.0,87.0%,2.41,384
0,domingo,não,inverno,15.9,0.0,43.0,0.0,97.0%,2.29,105
18,segunda,não,outono,23.3,0.0,54.3,0.0,53.0%,3.13,1916
0,segunda,não,verão,33.6,0.0,77.7,0.0,35.0%,0.97,969
17,terça,não,inverno,13.7,0.0,42.2,0.19,97.0%,3.37,312
19,sábado,não,primavera,23.5,0.0,39.2,0.04,97.0%,2.53,609
3,quinta,não,verão,33.4,0.0,67.9,0.0,97.0%,2.05,416
12,terça,não,verão,38.9,0.0,61.1,2.52,46.0%,3.01,811
22,domingo,não,verão,36.7,0.0,76.2,0.0,87.0%,1.33,1622
12,sexta,não,outono,34.3,0.0,80.7,0.27,93.0%,1.57,679
21,quarta,não,inverno,8.5,0.0,48.3,0.0,94.0%,4.09,147
1,quinta,não,inverno,11.3,0.0,59.6,0.0,97.0%,3.73,111
23,terça,não,verão,33.0,0.0,51.3,0.0,96.0%,1.21,1284
20,segunda,não,outono,26.2,0.0,58.1,0.0,97.0%,2.05,1454
0,terça,não,inverno,19.3,0.0,71.6,0.0,29.0%,1.57,204
23,quinta,não,inverno,18.4,0.0,65.6,0.0,49.0%,1.57,265
23,sábado,não,outono,23.9,0.0,63.3,0.0,97.0%,2.05,865
9,sábado,não,verão,33.4,0.0,56.6,1.87,97.0%,2.29,1020
21,sábado,não,verão,33.1,0.0,59.6,0.0,97.0%,2.05,2037
4,quarta,não,primavera,28.3,0.0,64.1,0.0,42.0%,1.21,214
5,segunda,não,outono,32.0,0.0,68.6,0.0,80.0%,1.69,255
14,quarta,não,inverno,14.1,0.0,36.2,2.23,96.0%,5.77,184
1,segunda,não,outono,26.5,0.0,78.4,0.0,62.0%,1.93,401
9,sábado,não,verão,38.1,0.0,61.1,1.71,48.0%,1.33,738
13,quinta,não,inverno,18.9,0.0,52.8,0.8,78.0%,1.93,307
23,segunda,não,primavera,32.3,0.0,58.1,0.0,83.0%,2.17,1262
4,domingo,não,primavera,25.1,0.0,80.7,0.0,27.0%,4.45,8
12,terça,não,primavera,28.7,0.0,53.5,2.44,63.0%,4.21,634
16,quinta,não,outono,28.1,0.0,42.2,1.13,94.0%,2.65,1220
22,quarta,não,inverno,8.2,0.0,52.0,0.0,97.0%,5.05,131
3,segunda,não,primavera,23.1,2.3,90.5,0.0,17.0%,1.21,27
20,quinta,não,outono,31.1,0.0,76.2,0.0,89.0%,2.89,904
3,sábado,não,verão,37.3,0.0,79.2,0.0,44.0%,1.69,476
13,quinta,não,outono,31.3,0.0,42.2,2.31,87.0%,1.57,1165
20,domingo,sim,inverno,17.7,0.0,42.2,0.0,97.0%,1.33,170
6,domingo,não,primavera,22.1,0.0,58.8,0.0,59.0%,2.29,78
12,quarta,não,inverno,13.1,0.0,39.2,2.12,97.0%,5.17,172
3,terça,não,outono,26.0,0.0,64.1,0.0,68.0%,1.93,259
20,sexta,não,primavera,20.5,0.0,73.9,0.0,24.0%,3.37,596
7,quinta,não,primavera,31.1,0.0,92.0,0.0,6.0%,0.61,92
5,quinta,não,outono,23.5,0.0,82.2,0.0,75.0%,1.33,199
22,quinta,não,outono,24.1,0.0,58.1,0.0,37.0%,0.73,1074
17,segunda,não,primavera,33.1,0.0,52.0,0.83,97.0%,3.13,2222
2,quinta,não,verão,39.3,0.0,69.4,0.0,49.0%,0.61,449
20,quinta,não,outono,20.4,0.0,49.8,0.0,97.0%,3.13,786
2,quarta,não,outono,27.9,5.18,86.7,0.0,20.0%,0.73,68
3,quinta,não,primavera,25.9,0.0,67.9,0.0,73.0%,1.45,247
23,sábado,não,primavera,31.1,0.0,64.9,0.0,86.0%,4.57,1105
3,sábado,não,outono,20.0,0.0,76.2,0.0,48.0%,3.01,300
16,quarta,não,primavera,19.9,0.0,77.7,0.37,97.0%,2.53,251
15,terça,não,verão,35.1,0.58,90.5,0.51,85.0%,0.97,130
20,domingo,não,inverno,19.2,0.0,46.8,0.0,68.0%,0.73,244
5,sábado,sim,inverno,14.5,0.0,41.5,0.0,97.0%,3.01,26
14,sábado,não,primavera,26.1,0.0,33.2,2.69,80.0%,3.49,1166
22,domingo,não,inverno,21.2,0.0,85.2,0.0,10.0%,2.41,361
18,quarta,não,inverno,9.7,0.0,40.0,0.05,97.0%,4.33,310
18,terça,não,outono,34.9,0.0,54.3,0.51,97.0%,1.93,5
17,segunda,não,primavera,30.9,0.0,52.0,0.8,53.0%,3.37,1878
22,sexta,não,verão,32.3,0.0,71.6,0.0,37.0%,1.45,1944
6,terça,não,inverno,12.9,0.0,62.6,0.0,93.0%,1.09,108
6,domingo,não,verão,35.2,0.0,73.1,0.02,96.0%,0.97,291
8,quarta,não,outono,22.1,0.0,76.9,0.09,35.0%,1.57,490
6,sábado,não,inverno,17.6,0.0,79.2,0.0,12.0%,1.45,70
19,domingo,sim,inverno,19.1,0.0,69.4,0.0,34.0%,5.53,138
3,sexta,não,primavera,25.5,0.0,65.6,0.0,48.0%,1.57,269
12,segunda,não,verão,40.6,0.0,58.8,2.09,80.0%,3.37,731
9,terça,não,outono,29.1,0.0,63.3,1.16,92.0%,2.53,767
6,quarta,não,outono,20.1,0.0,43.0,0.0,58.0%,2.05,299
3,domingo,não,verão,36.6,0.0,73.1,0.0,92.0%,0.97,413
0,quinta,não,primavera,26.4,0.0,70.9,0.0,51.0%,1.21,591
13,quinta,não,primavera,26.8,0.0,91.2,0.23,23.0%,3.37,277
21,segunda,não,inverno,20.2,0.0,73.1,0.0,40.0%,3.13,161
20,domingo,não,primavera,29.9,0.0,78.4,0.0,45.0%,3.13,1482
18,sexta,não,verão,38.9,0.0,63.3,1.43,87.0%,3.25,2899
1,sexta,não,inverno,18.3,0.0,50.5,0.0,61.0%,2.29,216
23,domingo,não,primavera,28.9,0.0,40.7,0.0,97.0%,1.57,948
18,sábado,não,primavera,33.3,0.0,41.5,0.79,95.0%,4.33,1935
6,domingo,não,inverno,13.1,0.0,44.5,0.0,97.0%,2.53,45
14,quarta,não,primavera,33.0,0.0,43.0,3.41,96.0%,4.33,1198
14,terça,não,outono,31.8,0.0,49.8,1.87,89.0%,3.61,2001
13,sexta,não,inverno,17.3,0.0,48.3,0.32,42.0%,0.61,336
22,terça,não,outono,23.7,0.0,55.8,0.0,97.0%,0.85,1141
20,domingo,não,outono,23.3,0.0,55.8,0.0,73.0%,1.09,728
7,sexta,não,outono,32.0,0.0,75.4,0.06,97.0%,1.81,1461
12,quinta,não,verão,36.3,0.0,73.9,0.94,45.0%,3.25,774
11,quinta,não,primavera,32.7,0.0,40.7,2.92,87.0%,3.73,928
18,sexta,não,outono,34.8,0.0,52.0,0.3,97.0%,1.09,3237
13,terça,não,primavera,30.7,0.0,52.8,2.54,31.0%,2.77,577
4,domingo,não,verão,34.7,0.0,83.0,0.0,66.0%,0.37,288
1,terça,não,outono,32.0,0.0,61.8,0.0,97.0%,2.29,500
12,terça,não,inverno,20.3,0.0,58.1,1.37,17.0%,5.89,253
2,terça,não,primavera,25.1,0.12,80.7,0.0,97.0%,1.93,75
19,quarta,não,verão,34.0,7.49,91.2,0.0,16.0%,0.61,36
2,sexta,não,verão,37.4,0.0,78.4,0.0,57.0%,1.69,322
12,quinta,não,inverno,17.3,0.0,44.5,1.9,76.0%,1.69,259
